insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (1, 'Luis', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (2, 'Esther', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (3, 'Noella', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (4, 'Willamina', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (5, 'Raphael', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (6, 'Melosa', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (7, 'Nanny', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (8, 'Christean', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (9, 'Melantha', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (10, 'Giselbert', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (11, 'Bryana', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (12, 'Thacher', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (13, 'Jessica', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (14, 'Benyamin', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (15, 'Dorelle', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (16, 'Cliff', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (17, 'Isidora', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (18, 'Conrado', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (19, 'Wilton', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (20, 'Aundrea', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (21, 'Boony', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (22, 'Augy', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (23, 'Glory', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (24, 'Cordey', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (25, 'Burl', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (26, 'Thebault', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (27, 'Sanson', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (28, 'Caryn', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (29, 'Patricia', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (30, 'Lyn', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (31, 'Guy', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (32, 'Antonio', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (33, 'Merwyn', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (34, 'Maddie', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (35, 'Theda', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (36, 'Lian', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (37, 'Uriah', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (38, 'Adham', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (39, 'Dawna', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (40, 'Gaye', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (41, 'Burgess', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (42, 'Yorgo', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (43, 'Agustin', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (44, 'Marney', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (45, 'Charmain', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (46, 'Noble', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (47, 'Abba', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (48, 'Dyan', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (49, 'Maryl', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (50, 'Imelda', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (51, 'Alford', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (52, 'Garland', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (53, 'Cully', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (54, 'Mirabella', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (55, 'Lonnie', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (56, 'Liane', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (57, 'Donia', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (58, 'Raffarty', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (59, 'Terry', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (60, 'Matt', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (61, 'Lilly', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (62, 'Sherman', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (63, 'Anne', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (64, 'Zelig', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (65, 'Merralee', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (66, 'Bay', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (67, 'Pru', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (68, 'Merrill', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (69, 'Benedicta', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (70, 'Harri', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (71, 'Mirella', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (72, 'Quent', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (73, 'Mona', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (74, 'Briny', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (75, 'Goldy', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (76, 'Tiphanie', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (77, 'Gayel', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (78, 'Pauly', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (79, 'Edythe', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (80, 'Mycah', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (81, 'Shane', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (82, 'Monro', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (83, 'Vivyanne', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (84, 'Kari', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (85, 'Sydney', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (86, 'Annadiana', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (87, 'Gale', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (88, 'Ardine', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (89, 'Stephine', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (90, 'Aliza', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (91, 'Andrus', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (92, 'Stephanus', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (93, 'Hulda', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (94, 'Truda', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (95, 'Cathie', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (96, 'Rhona', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (97, 'Loree', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (98, 'Roshelle', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (99, 'Tabby', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (100, 'Halette', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (101, 'Marietta', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (102, 'Jerri', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (103, 'Jade', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (104, 'Alvan', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (105, 'Derry', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (106, 'Rooney', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (107, 'Tabbatha', 'Vendedor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (108, 'Heda', 'Repositor');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (109, 'Josh', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (110, 'Emmy', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (111, 'Briano', 'Administrador');
insert into funcionario (id_funcionario, nome_funcionario, tipo_funcionario) values (112, 'Gizela', 'Vendedor');
